P1,P2,P3,P4,P5,P6,P7,P8,P9,P10_RoofwithInsulationBatt154mm,P10_RoofwithInsulationBatt244mm,P10_RoofwithInsulationBatt89mm,P10_RoofwithInsulationBoard25mm,P10_RoofwithInsulationBoard50mm,P10_RoofwithInsulationBoard75mm,P10_RoofwithInsulationCellularGlass25mm,P10_RoofwithInsulationCellularGlass50mm,P10_RoofwithInsulationCellularGlass75mm,P10_RoofwithInsulationExpandedPerlite25mm,P10_RoofwithInsulationExpandedrubber(rigid)25mm,P10_RoofwithInsulationGlassfiber25mm,P10_RoofwithInsulationGlassfiber50mm,P10_RoofwithInsulationGlassfiber75mm,P10_RoofwithInsulationXPS25mm,P10_RoofwithInsulationXPS50mm,P10_RoofwithInsulationXPS75mm,P10_RoofwithVegetation,P11_DblBronze6mm/13mmAir,P11_DblClr6mm/13mmAir,P11_DblElecAbsBleached6mm/13mmAir,P11_DblElecAbsColored6mm/13mmAir,P11_DblElecRefBleached6mm/13mmAir,P11_DblElecRefColored6mm/13mmAir,P11_DblGreen6mm/13mmAir,P11_DblGrey6mm/13mmAir,P11_DblLoE(e2=.1)Tint6mm/13mmAir,P11_DblLoEElecAbsBleached6mm/13mmAir,P11_DblLoEElecAbsColored6mm/13mmAir,P11_DblLoEElecRefBleached6mm/13mmAir,P11_DblLoEElecRefColored6mm/13mmAir,P11_DblLoESpecSelTint6mm/13mmAir,P11_DblRef-A-HTint6mm/13mmAir,P11_DblRef-A-LTint6mm/13mmAir,P11_DblRef-A-MTint6mm/13mmAir,P11_QuadrupleLoEFilms(88)3mm/8mmKrypton,P11_TrpLoEFilm(33)Bronze6mm/13mmAir,P11_TrpLoEFilm(44)Bronze6mm/13mmAir,P11_TrpLoEFilm(55)Bronze6mm/13mmAir,P11_TrpLoEFilm(66)Bronze6mm/13mmAir,P12,P13,P14,P15_LOWREFLECT-HIGHTRANSSHADE,P15_LOWREFLECT-LOWTRANSSHADE,P15_LOWREFLECT-MEDIUMTRANSSHADE,P15_MEDIUMREFLECT-LOWTRANSSHADE,P15_MEDIUMREFLECT-MEDIUMTRANSSHADE,P16_ContinuousOff,P16_Stepped,P17,P18,P19,P20_G0525mmwood,P20_G0650mmwood,P20_G0710mmwood,P21,P22_ARGON13MM,P22_KRYPTON13MM,P22_XENON13MM,P23_FloorwithInsulationBatt154mm,P23_FloorwithInsulationBatt244mm,P23_FloorwithInsulationBatt89mm,P23_FloorwithInsulationBoard25mm,P23_FloorwithInsulationBoard50mm,P23_FloorwithInsulationBoard75mm,P23_FloorwithInsulationCellularglass25mm,P23_FloorwithInsulationCellularglass50mm,P23_FloorwithInsulationCellularglass75mm,P23_FloorwithInsulationExpandedPerlite25mm,P23_FloorwithInsulationExpandedrubber(rigid)25mm,P23_FloorwithInsulationGlassfiber25mm,P23_FloorwithInsulationGlassfiber50mm,P23_FloorwithInsulationGlassfiber75mm,P23_FloorwithInsulationXPS25mm,P23_FloorwithInsulationXPS50mm,P23_FloorwithInsulationXPS75mm,P24_DblClrLowIron5mm/13mmAir,P24_DblElecAbsBleached6mm/13mmAir,P24_DblLoE(e2=.1)Clr6mm/13mmAir,P24_DblLoE(e2=.2)Clr6mm/13mmAir,P24_DblLoESpecSelClr6mm/13mmAir,P24_TrpLoEFilm(55)Clr6mm/13mAir,P24_TrpLoEFilm(66)Clr6mm/13mmAir,P25_DualDuct,P25_FanCoil,P25_FanCoil-DOAS,P25_PTAC,P25_PTAC-DOAS,P25_PTHP,P25_PTHP-DOAS,P25_PackagedVAV,P25_UnitaryHeatPump,P25_VAVAir-CooledChillers,P25_VAVWater-CooledChillers,P25_VRF,P25_VRF-DOAS,P25_WaterToAirHeatPump,t1,t2,t3,t4,t5
21,32,1.9,0.74,0.57,0.96,1.37,0.5,0.01888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,0.25,115,0,0,0,0,0,0,0,0.45,75,0.59,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25333.39044203837,21613.39499244697,588.8875882678217,32.04933053311067,41.729166666666686
22,30,1.5,0.61,0.54,0.89,1.14,0.3,0.03776,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0.3,85,0,0,0,1,0,0,1,0.25,80,0.84,0,0,1,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17391.482390209378,16024.276600141313,624.7453805383843,30.818368999362445,52.50000000000002
19,32,1.75,0.61,0.54,0.96,1.14,0.2,0.08496,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9,0.2,110,1,0,0,0,0,0,0,0.4,95,0.84,0,0,1,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35986.907882609696,24605.323457564515,598.3673398401911,11.825411014656764,53.04166666666664
19,29,0.3,0.67,0.54,0.96,1.1,0.1,0.00944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.35,0.35,120,0,1,0,0,0,1,0,0.5,40,0.86,0,0,0,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11035.220886765008,6986.864120422062,897.040148338945,12.644561951524414,12.229166666666671
25,30,0.25,0.72,0.57,0.89,1.14,0.45,0.05664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.5,100,0,0,0,0,1,0,0,0.01,60,0.77,0,0,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44501.94850891523,12336.944952349868,584.8411992578732,15.095956911436671,204.45833333333297
21,28,1.9,0.67,0.36,1.01,1.14,0.15,0.05664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.01,55,0,0,0,0,0,0,0,0.1,110,0.51,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65389.35389340352,29744.67376126461,631.884315604669,34.635418749320586,345.2083333333334
25,32,0.7,0.72,0.57,1.01,1.3,0.2,0.0944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.45,115,0,0,1,0,0,1,0,0.15,35,0.3,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51922.23732004593,26851.270498927774,580.6905363598058,31.811348110774,273.0
23,31,0.6,0.72,0.57,0.96,1.1,0.45,0.01888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.15,105,1,0,0,0,0,1,0,0.01,100,0.84,0,0,1,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39474.091020994965,11505.92371344867,718.5581731089798,34.64994131950758,334.6041666666667
25,28,1.6,0.61,0.57,0.89,1.37,0.5,0.01888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4,0.5,95,0,0,0,1,0,0,0,0.5,105,0.84,1,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14439.055509105932,14943.649228334703,643.4635813542761,31.7735400382826,204.10416666666663
24,32,1.25,0.67,0.54,0.96,1.1,0.3,0.07552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.01,55,0,0,0,0,0,0,1,0.3,50,0.89,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20624.41804447208,16812.800604907326,611.4693924291859,31.086458512747445,152.10416666666657
23,29,1.3,0.67,0.36,0.96,1.1,0.25,0.06608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.4,75,0,0,0,1,0,1,0,0.4,90,0.9,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59240.5845407514,15771.624400835666,533.5516782522924,14.025120576955551,20.625000000000004
23,31,1.6,0.61,0.54,0.96,1.14,0.15,0.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,0.01,45,0,0,0,0,0,1,0,0.2,110,0.94,0,0,1,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56168.842220046325,34326.03623963946,535.698113197383,12.813869684294986,82.37500000000016
22,30,1.6,0.67,0.36,0.89,1.1,0.35,0.07552,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.45,80,0,0,0,0,0,0,0,0.3,70,0.69,1,0,0,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66365.78597651374,41971.50739845415,520.7019738640435,13.718662456018391,17.18750000000001
18,32,0.45,0.74,0.36,0.89,1.37,0.5,0.06608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3,0.5,65,0,0,1,0,0,0,0,0.35,110,0.79,0,0,1,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49596.36677068547,31852.034386041472,562.2071176614555,14.441979781683733,22.14583333333333
21,28,0.3,0.61,0.57,1.01,1.1,0.5,0.0944,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.45,0.01,40,0,1,0,0,0,1,0,0.15,115,0.4,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116272.36958863596,29620.503189582145,648.6719823276926,29.95482469164342,149.39583333333323
28,32,0.75,0.61,0.57,1.01,1.1,0.1,0.00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.1,50,0,1,0,0,0,1,0,0.15,95,0.51,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35577.30243725411,10626.625797037972,745.7141899646011,37.26125482616146,454.6458333333332
23,31,1.6,0.61,0.54,0.96,1.14,0.15,0.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,0.3,85,0,0,0,1,0,0,1,0.5,45,0.57,0,0,1,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45581.94131598327,32259.25650598914,535.5194225155522,32.00510281308889,208.5416666666667
24,29,1.6,0.61,0.54,0.89,1.3,0.3,0.03776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05,0.4,90,0,0,0,1,0,0,1,0.4,35,0.79,0,0,1,0.35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23957.75212720575,18501.26185082806,642.4246143884976,11.251378427865705,22.29166666666668
27,28,1.7,0.74,0.36,1.01,1.37,0.15,0.08496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4,0.25,60,0,1,0,0,0,1,0,0.5,110,0.3,0,0,1,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83478.10855399055,44799.6360924207,515.2799570293473,37.56574440102253,38.4375
19,31,1.7,0.61,0.36,0.89,1.14,0.35,0.07552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.5,115,0,0,1,0,0,0,1,0.3,120,0.51,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50962.24113467199,28852.30710591417,565.5184670055997,29.604136775522548,55.020833333333314
26,28,0.75,0.74,0.54,0.89,1.3,0.4,0.0472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.3,100,1,0,0,0,0,0,1,0.4,60,0.86,1,0,0,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28155.36440438527,18463.09598206404,648.6669294107086,19.70528622912632,63.4375
25,29,0.15,0.74,0.57,0.89,1.1,0.1,0.00944,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0.45,40,0,0,0,0,1,1,0,0.1,110,0.54,0,0,1,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57550.1880139975,21973.6726444053,1001.2748838775696,39.03067824128721,143.2916666666666
20,32,1.7,0.67,0.54,0.96,1.37,0.25,0.0944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0.35,85,0,1,0,0,0,0,0,0.5,105,0.4,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67371.83274081555,45137.09438821304,509.76065133848897,30.9578041467353,263.1875000000001
24,32,1.25,0.72,0.36,1.01,1.1,0.5,0.07552,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.65,0.15,40,0,0,0,0,0,0,0,0.45,105,0.45,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54678.71068711774,38512.33294379886,527.2203605980712,31.18875249940632,147.95833333333326
28,28,1.85,0.74,0.36,0.89,1.14,0.15,0.0944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.15,30,0,0,1,0,0,0,0,0.1,110,0.3,0,0,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143993.6112943092,35981.10739395483,556.4470664565284,29.828532909876856,332.95833333333314
28,28,0.95,0.72,0.36,0.96,1.1,0.4,0.05664,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.35,70,0,0,0,0,1,0,0,0.15,110,0.69,0,1,0,0.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40755.03590799661,30126.161176177942,551.6740293734126,31.16480849392374,59.666666666666686
25,28,1.8,0.72,0.57,0.89,1.3,0.1,0.0944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3,0.45,115,0,0,0,0,1,0,0,0.1,30,0.69,0,0,0,0.01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128782.29625206608,32344.05969104471,560.4160517541851,30.88172608881748,68.29166666666667
25,30,1.55,0.67,0.36,0.89,1.1,0.25,0.08496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.5,50,0,0,0,0,0,1,0,0.2,75,0.77,0,0,1,0.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39518.67758770927,24772.20049834049,575.462568667016,20.99538291188549,16.395833333333343
28,30,0.4,0.72,0.36,1.01,1.37,0.5,0.0944,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.35,0.5,120,0,0,0,0,0,1,0,0.5,105,0.53,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23992.49305778872,12016.367623378765,679.051270030942,15.74452055093407,33.89583333333333
26,28,1.65,0.61,0.36,1.01,1.14,0.5,0.0472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.01,45,0,1,0,0,0,1,0,0.1,65,0.59,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96059.02620874436,24817.944185612287,583.769913814156,30.23010010143479,110.5
18,32,0.25,0.72,0.36,1.01,1.14,0.15,0.08496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.01,45,0,1,0,0,0,0,0,0.15,110,0.94,0,0,1,0.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63657.0139597942,37552.69836076202,558.2416304537342,15.571843185563594,16.562500000000004
20,31,1.7,0.61,0.57,0.89,1.1,0.2,0.0944,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0.25,95,1,0,0,0,0,0,1,0.25,55,0.77,0,0,1,0.35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54788.523157568765,15095.553046033265,591.0845036293953,12.549463201675817,135.9791666666668
18,32,0.4,0.67,0.54,0.96,1.37,0.5,0.0944,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.17,0.01,35,0,0,1,0,0,1,0,0.1,40,0.69,0,0,0,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24565.13721906752,12027.351459595113,677.5797607545283,15.41465603537874,47.16666666666666
20,28,1.65,0.61,0.36,0.89,1.37,0.35,0.08496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.01,70,0,0,0,0,1,1,0,0.15,90,0.45,0,0,0,0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50337.08112367137,27590.577462383644,558.8654186194476,30.707916487485523,425.6041666666664
23,32,1.55,0.67,0.54,1.01,1.1,0.1,0.06608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.3,80,0,0,0,1,0,0,0,0.01,50,0.57,0,0,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22513.05680013193,17345.242162049413,596.9023470454289,31.831359099892875,267.62499999999983
20,32,1.65,0.61,0.54,0.96,1.1,0.4,0.0472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,0.2,65,0,0,0,0,1,1,0,0.4,80,0.77,0,1,0,0.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36606.44187249331,23669.50278944662,597.0856446233022,19.153979656309215,226.33333333333303
18,28,1.9,0.67,0.54,0.96,1.3,0.5,0.00944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,0.25,45,0,0,1,0,0,0,0,0.1,115,0.45,0,0,1,0.45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13721.55361307711,8846.165019892647,653.5309148342088,11.69700000208129,67.81249999999994
26,32,1.75,0.74,0.57,1.01,1.37,0.1,0.08496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.1,120,0,0,0,1,0,0,0,0.2,115,0.94,0,0,0,0.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64006.523708164685,26629.964195994493,514.0379558555431,13.838908359728595,113.91666666666669
20,32,1.7,0.67,0.54,0.96,1.37,0.5,0.01888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4,0.5,95,0,0,0,1,0,1,0,0.3,30,0.85,0,0,1,0.01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19156.26824984398,7009.304354342187,659.6928219411741,11.119835553727958,95.06250000000014
24,30,1.35,0.61,0.36,0.96,1.14,0.2,0.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.35,75,0,0,0,0,1,0,1,0.45,55,0.82,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25229.431500142477,18874.681074775508,644.4161185146612,12.16506425015196,227.00000000000028
23,32,1.55,0.67,0.54,0.89,1.37,0.5,0.0944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.15,55,0,0,0,0,0,1,0,0.5,115,0.53,0,0,0,0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140891.07025981724,35371.697331172974,565.3646824108293,29.965851032517943,496.3541666666663
